tranche zincid SMILES
H27P210 ZINCrr00000RvRTO Cc1[nH]nc(CN(C[C@@H](O)COCC(C)C)C(=O)[C@@H](O)c2ccsc2)c1C
H24P190 ZINCop00000FxMco CC(C)[C@@H]1C[C@@H](Nc2ccc(S(=O)(=O)NCC3CSC3)cn2)CO1
H29P330 ZINCtD00000tGuiB Cc1ncn(Cc2cn([C@H]3CCN(C(=O)[C@@H](C)c4ccccc4Cl)C3)nn2)c1C
H26P500 ZINCqU00000iKFmx COC(=O)c1cc(F)c(CNc2c(C(C)C)cccc2C(C)C)c(F)c1
H24P150 ZINCol00000sIMur C[C@H](CN(C)C(=O)CNc1cccnc1)C(=O)N[C@@H]1[C@H]2CCC[C@H]21
H24P230 ZINCot000004C3lO COCCC[C@@H](NC(=O)c1ccn(C)c1-c1ccccc1)C(=O)O
H27P220 ZINCrs000004oo0C Cn1cc(C(=O)N2C[C@H](C(=O)O)[C@@](C)(C(F)(F)F)C2)nc1-c1ccccn1
H24P060 ZINCoc0000065mUu Cn1cnc(C(=O)NC2([C@@H]3CCN(C(=O)[C@H]4CCSC4)C3)CC2)n1
H28P260 ZINCsw00000pGjcg CCC(CC)C[C@@H](F)C(=O)N1CCC[C@H](C(=O)NC2(CC(N)=O)CC2)[C@@H]1CC
H26P260 ZINCqw00000Ffbwr Cc1nc(CN(CC[C@@H](C)C(C)C)C(=O)CCc2cnc(O)[nH]2)[nH]c1C
H26P220 ZINCqs00000cnoDL C[C@H]1C(C(=O)N[C@H]2CCCCC[C@H]2C(=O)N2[C@H]3CC[C@H]2CN(C)C3)[C@@H]1C
H28P240 ZINCsu00000DRLiK CCn1nnnc1[C@@H](c1cnc(-c2ccccc2)[nH]1)N1CCC=C[C@@H]1COC
H29P300 ZINCtA000001eUUl CCOC(=O)c1cnc(SC)[nH]c1=N[C@@H]1CN(C(=O)c2ccc(F)cc2)C[C@@H]1C
H28P160 ZINCsm00000M6H1k CCn1ccc(C(=O)NC[C@H]2C[C@H]2NC(=O)[C@H](F)C(F)(F)C(F)(F)F)cc1=O
H28P250 ZINCsv000006EtuP C#Cc1cccc(C(=O)N2CCN(C(=O)COC3CCCC3)[C@@H]3CC[C@@H]32)c1F
H29P130 ZINCtj00000qHZY5 CCn1c(C(=O)N2CC[C@@H](CNC(=O)c3ncn(C(C)C)n3)[C@@H](C)C2)cnc1O
H29P240 ZINCtu00000eU2w2 CSc1cnn(C)c1C(=O)N[C@H]1CCC[C@@H](N(C)C(=O)c2cc(C(C)=O)c[nH]2)C1
H29P250 ZINCtv00000mG27l COC1(CNC(=O)[C@@H]2SCC[C@H]2C)CCN(C(=O)c2ccc(C)c(F)c2N)CC1
H26P320 ZINCqC00000eywxb CCC=CC=CC(=O)N1CC(CCNC(=O)c2cc3ccccc3[nH]2)C1
H26P200 ZINCqq0000095oc4 C[C@H]1C[C@H](NC(=O)CCN(C)C(=O)OC(C)(C)C)CN1C(=O)CC(F)F
H25P080 ZINCpe00000MJYOD CCC(=O)N[C@@H](C)CN1CCN(C(=O)[C@H]2CCCc3c[nH]nc32)CC1
H23P130 ZINCnj00001A2MJj C[C@@H](CNC(=O)Cc1cnns1)NS(=O)(=O)CCCC(C)(C)C
H29P420 ZINCtM00000NhJzD COc1ccc(NC(=O)C23CC(C(=O)Nc4cccc5[nH]ccc45)(C2)C3)c(C)c1
H24M000 ZINCo50000167Gxx C[C@@H]1CN([C@H](c2cnc[nH]2)c2nnnn2CC2CC2)C[C@@H](CO)O1
H28P270 ZINCsx00000vkq9P C=CCOCCN(Cc1ccc(COC)cc1)C(=O)c1cnc2ncccn12
H25P220 ZINCps00000m9YbI CC(C)=CC(=O)N1CCC[C@@H](C(=O)N[C@H](C)Cn2cc(C)cn2)CC1
H26P360 ZINCqG000009zL9i CC(C)c1ccc(Cl)cc1C(=O)N[C@H]1CN(C(=O)CC#N)C2(CCC2)C1
H28P320 ZINCsC000006Xn86 CC(C)[C@](C)(CNC(=O)c1cc2c([nH]1)CCOC2)NC(=O)[C@H](C)c1cccs1
H25P340 ZINCpE00000kqyGZ C[C@@H](NC(=O)[C@@H]1NCCc2cc(C#N)ccc21)c1ccc(Cl)cc1F
H24P230 ZINCot000004C3dK COC1CC2(C1)CC(C(=O)N[C@H]1c3ccccc3C[C@H]1C(=O)O)C2
H29P280 ZINCty00000CNCHi C#C[C@H]1CC[C@H](CNC(=O)/C=C/[C@@H]2CCCN2C(=O)c2cnccc2OC)CC1
H29P150 ZINCtl00000PCI29 O=C([C@H]1CCc2nc[nH]c2C1)N1CC[C@]2(CCCN(C(=O)C3(CCO)CC3)C2)C1
H28P430 ZINCsN000000VkA1 Cc1ncc(C(=O)Nc2cccc(Oc3c([N+](=O)[O-])ncn3C)c2)c(Cl)c1Cl
H25P220 ZINCps00000m9YbH C=CCCC(=O)N1CCC[C@H](C(=O)N[C@H](C)Cn2cc(C)cn2)CC1
H24P190 ZINCop00000FxMbZ CCC[C@H]1C[C@@H](C(=O)NC[C@H](COC)N=c2nc(C)[nH]s2)CCO1
H24P190 ZINCop00000FxMcv C=CC[C@H]1C[C@H](NCC[C@H](C)c2nc[nH]n2)C[C@@H](CC(=O)OC)O1
H25P210 ZINCpr00000m9Yco CC=CCC(=O)N1CC(C[C@H](F)C(=O)NC2CCC([C@H](C)O)CC2)C1
H24P400 ZINCoK00000aI4DH CCNc1ccc(CN[C@@H]2C[C@@H](OCC)C23CCCCC3)c(O)c1
H23P060 ZINCnc000000L7ZJ CS(=O)(=O)N1CCC[C@H](NC(=O)c2ncc(Br)cc2C(=O)O)C1
H29P220 ZINCts00000s9veD CCCC[C@@H](NC(N)=O)C(=O)N[C@H](C)CCN(C)C(=O)c1c[nH]c(C(F)(F)F)c1
H28P430 ZINCsN00000nINPB C[C@H](C(=O)N1CCC[C@@]2(CCCN2C(=O)CC(C)(C)C)C1)c1cccc(F)c1
H29P200 ZINCtq000007wq82 CC(C)OCC1(C(=O)NC[C@@H](NC(=O)c2ccc3c(c2)CNC3=O)C(C)C)CC1
H28P100 ZINCsg00000FCllg CCc1ncncc1C(=O)NCCNC(=O)[C@@]1(C)Cc2ccccc2NC1=O
H29P090 ZINCtf00001rXQqO Cc1nc(NC(=O)CN2CCS(=O)(=O)CC2)sc1C(=O)N=c1cc(C2CC2)[nH][nH]1
